date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1/01/2007,CAN,CAD,Canada,3.63,1.17485,3.089756139,0.06912,-0.18887,-0.19406,0.34167,1.1837
,,,,,,,,,,,
1/01/2007,CHN,CNY,China,11,7.7743,1.414918385,-0.51041,-0.62855,-0.63093,-0.3856,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/01/2007,IDN,IDR,Indonesia,15900,9090,1.749174917,-0.39475,-0.5408,-0.54374,-0.24045,0.23624
1/01/2007,JPN,JPY,Japan,280,121.585,2.302915656,-0.20314,-0.39543,-0.3993,0,0.6276
,,,,,,,,,,,
1/01/2007,MEX,MXN,Mexico,29,10.8894,2.663140302,-0.0785,-0.30087,-0.30534,0.15642,0.88219
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/01/2007,RUS,RUB,Russia,49,26.5335,1.846722068,-0.361,-0.5152,-0.5183,-0.19809,0.30518
1/01/2007,SAU,SAR,Saudi Arabia,9,3.749,2.400640171,-0.16933,-0.36978,-0.37381,0.04244,0.69666
,,,,,,,,,,,
1/01/2007,ZAF,ZAR,South Africa,15.5,7.10975,2.180104786,-0.24564,-0.42768,-0.43134,-0.05333,0.5408
1/01/2007,KOR,KRW,South Korea,2900,940.15,3.084614157,0.06734,-0.19022,-0.1954,0.33944,1.18007
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/01/2007,TUR,TRY,Turkey,4.55,1.40975,3.22752261,0.11679,-0.15271,-0.15812,0.40149,1.28107
,,,,,,,,,,,
,,,,,,,,,,,
1/01/2007,USA,USD,United States,2.89,1,2.89,0,-0.24131,-0.24617,0.25493,1.04252
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2007,ARG,ARS,Argentina,8.25,3.0915,2.668607472,-0.11046,-0.35957,-0.33404,0.16575,0.84491
1/06/2007,AUS,AUD,Australia,3.45,1.17,2.948717949,-0.01709,-0.29235,-0.26414,0.28812,1.03856
1/06/2007,BRA,BRL,Brazil,6.9,1.913,3.606900157,0.2023,-0.13439,-0.09989,0.57564,1.49358
1/06/2007,GBR,GBP,Britain,1.99,0.496610632,4.007163503,0.33572,-0.03833,0,0.75049,1.7703
1/06/2007,CAN,CAD,Canada,3.88,1.05345,3.683136361,0.22771,-0.11609,-0.08086,0.60894,1.54629
,,,,,,,,,,,
1/06/2007,CHN,CNY,China,11,7.6047,1.446473891,-0.51784,-0.65286,-0.63903,-0.36812,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2007,IDN,IDR,Indonesia,15900,9015,1.763727121,-0.41209,-0.57673,-0.55986,-0.22953,0.21933
1/06/2007,JPN,JPY,Japan,280,122.315,2.289171402,-0.23694,-0.45063,-0.42873,0,0.58259
,,,,,,,,,,,
1/06/2007,MEX,MXN,Mexico,29,10.76755,2.693277487,-0.10224,-0.35365,-0.32788,0.17653,0.86196
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2007,RUS,RUB,Russia,52,25.64825,2.027428772,-0.32419,-0.51344,-0.49405,-0.11434,0.40164
1/06/2007,SAU,SAR,Saudi Arabia,9,3.75045,2.399712035,-0.2001,-0.4241,-0.40114,0.04829,0.65901
,,,,,,,,,,,
1/06/2007,ZAF,ZAR,South Africa,15.5,6.971,2.223497346,-0.25883,-0.46639,-0.44512,-0.02869,0.53718
1/06/2007,KOR,KRW,South Korea,2900,922.5,3.143631436,0.04788,-0.24557,-0.2155,0.37326,1.17331
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2007,TUR,TRY,Turkey,4.75,1.2981,3.659194207,0.21973,-0.12184,-0.08684,0.59848,1.52973
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2007,USA,USD,United States,3,1,3,0,-0.28004,-0.25134,0.31052,1.07401
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2008,ARG,ARS,Argentina,11,3.0195,3.64298725,0.13489,-0.31814,-0.20293,0.39026,0.99169
1/06/2008,AUS,AUD,Australia,3.45,1.026,3.362573099,0.04753,-0.37062,-0.26429,0.28324,0.83839
